Matrix_id	Gene_id	Species	Method	Datasource	Datasource_ID
MP00592	AT5G66730	Arabidopsis thaliana	DAP	PMID:27203113	AT5G66730
MP00593	AT5G66940	Arabidopsis thaliana	DAP	PMID:27203113	AT5G66940
MP00594	AT5G67000	Arabidopsis thaliana	DAP	PMID:27203113	AT5G67000
MP00595	AT5G67190	Arabidopsis thaliana	DAP	PMID:27203113	AT5G67190
MP00596	AT5G67300	Arabidopsis thaliana	DAP	PMID:27203113	AT5G67300
MP00597	AT5G67580	Arabidopsis thaliana	DAP	PMID:27203113	AT5G67580
MP00598	AT5G49330	Arabidopsis thaliana	PBM	PMID:24477691	MYB111
MP00599	AT5G12870	Arabidopsis thaliana	PBM	PMID:24477691	MYB46
MP00600	AT5G59780	Arabidopsis thaliana	PBM	PMID:24477691	MYB59
MP00601	AT1G74930	Arabidopsis thaliana	PBM	PMID:24477691	ORA47
MP00602	AT4G31610	Arabidopsis thaliana	PBM	PMID:24477691	REM1
MP00603	AT2G47070	Arabidopsis thaliana	PBM	PMID:24477691	SPL1
MP00604	AT5G18830	Arabidopsis thaliana	PBM	PMID:24477691	SPL7
MP00605	AT1G24260	Arabidopsis thaliana	ChIP-seq	SRA:SRX004990	SRX004990
MP00606	AT2G43010	Arabidopsis thaliana	ChIP-seq	SRA:SRX1005830	SRX1005830
MP00607	AT1G49950	Arabidopsis thaliana	ChIP-seq	SRA:SRX1044956	SRX1044956
MP00608	AT3G48430	Arabidopsis thaliana	ChIP-seq	SRA:SRX1184290	SRX1184290
MP00609	AT4G18960	Arabidopsis thaliana	ChIP-seq	SRA:SRX263744	SRX263744
MP00610	AT5G17430	Arabidopsis thaliana	ChIP-seq	SRA:SRX377734	SRX377734
MP00611	AT2G01570	Arabidopsis thaliana	ChIP-seq	SRA:SRX647776	SRX647776
MP00612	AT3G10490	Arabidopsis thaliana	ChIP-seq	SRA:SRX669382	SRX669382
MP00613	AT3G51060	Arabidopsis thaliana	PBM	PMID:24477691	STY1
MP00614	AT1G35560	Arabidopsis thaliana	PBM	PMID:24477691	TCP23
MP00615	AT2G28550	Arabidopsis thaliana	PBM	PMID:24477691	TOE1
MP00616	AT5G60120	Arabidopsis thaliana	PBM	PMID:24477691	TOE2
MP00617	AT4G35550	Arabidopsis thaliana	PBM	PMID:24477691	WOX13
MP00618	AT2G44745	Arabidopsis thaliana	PBM	PMID:24477691	WRKY12
MP00619	AT5G22570	Arabidopsis thaliana	PBM	PMID:24477691	WRKY38
MP00620	AT2G45190	Arabidopsis thaliana	PBM	PMID:24477691	YAB1
MP00621	AT2G17180	Arabidopsis thaliana	PBM	PMID:24477691	ZAT2
